 71431218	2018-05-10 08:05:26	1	0	1	0
 74301929	2018-05-10 08:06:01	1	0	1	0
 72657718	2018-05-10 08:06:31	1	0	1	0
 72961648	2018-05-10 08:08:26	1	0	1	0
 70358947	2018-05-10 08:09:30	1	0	1	0
 70452774	2018-05-10 08:19:44	1	0	1	0
 77464734	2018-05-10 08:25:09	1	0	1	0
 77464734	2018-05-10 08:25:10	1	0	1	0
 33817944	2018-05-10 08:26:05	1	0	1	0
 43479176	2018-05-10 09:31:12	1	0	1	0
 43479176	2018-05-10 10:40:04	1	0	1	0
 74040123 	2018-05-01 14:09:17	1	0	1	0
 74040123 	2018-05-02 14:09:17	1	0	1	0
 74040123 	2018-05-03 14:09:17	1	0	1	0
 74040123 	2018-05-04 14:09:17	1	0	1	0
 74040123 	2018-05-05 14:09:17	1	0	1	0
 74040123 	2018-05-06 14:09:17	1	0	1	0
 74040123 	2018-05-09 14:09:17	1	0	1	0
 74040123 	2018-05-10 14:09:17	1	0	1	0
 74040123 	2018-05-11 14:09:17	1	0	1	0
 74040123 	2018-05-12 14:09:17	1	0	1	0
 72079731	2018-05-10 08:12:07	1	0	1	0
 70452774	2018-05-10 08:19:42	1	0	1	0
